action_datetime,path_name,method,ip,status_response,response,description,request_body,request_query,duration
2025-07-06 17:53:12,/auth/signup,POST,testclient,201,"{""first_name"":""John"",""last_name"":""Doe"",""email"":""john.doe@example.com"",""hashed_password"":""$2b$12$wt91D4b29iUjgNroRrssTOVOhxZMtrOgxPo..PVlvApRWfKrEZJA."",""role"":""user"",""created_at"":""2025-07-06T22:53:12.036658+00:00"",""updated_at"":""2025-07-06T22:53:12.036659+00:00"",""_id"":""686afe58d315b520c668a235"",""id"":""686afe58d315b520c668a235""}",,"{""first_name"": ""John"", ""last_name"": ""Doe"", ""email"": ""john.doe@example.com"", ""password"": ""securepassword123"", ""role"": ""user""}","{'path': {}, 'query': {}}",1.149
2025-07-06 17:54:09,/auth/signup,POST,testclient,400,"{""statusCode"":400,""message"":""Username already exists"",""errorCode"":""USERNAME_TAKEN"",""timestamp"":""2025-07-06T22:54:09.186358+00:00""}",,"{""first_name"": ""John"", ""last_name"": ""Doe"", ""email"": ""john.doe@example.com"", ""password"": ""securepassword123"", ""role"": ""user""}","{'path': {}, 'query': {}}",0.704
2025-07-06 17:55:05,/auth/signup,POST,testclient,400,"{""statusCode"":400,""message"":""Username already exists"",""errorCode"":""USERNAME_TAKEN"",""timestamp"":""2025-07-06T22:55:05.506802+00:00""}",,"{""first_name"": ""John"", ""last_name"": ""Doe"", ""email"": ""john.doe@example.com"", ""password"": ""securepassword123"", ""role"": ""user""}","{'path': {}, 'query': {}}",0.904
